"116h -- Rakennukset (lkm, m2) käyttötarkoituksen ja lämmitysaineen mukaan, 2019"

"Rakennuksen lämmitysaine","Alue","Vuosi","Rakennuksen kerrosala (m2) Yhteensä","Rakennuksen kerrosala (m2) Erilliset pientalot","Rakennuksen kerrosala (m2) Rivi- ja ketjutalot","Rakennuksen kerrosala (m2) Asuinkerrostalot","Rakennuksen kerrosala (m2) Liikerakennukset","Rakennuksen kerrosala (m2) Toimistorakennukset","Rakennuksen kerrosala (m2) Liikenteen rakennukset","Rakennuksen kerrosala (m2) Hoitoalan rakennukset","Rakennuksen kerrosala (m2) Kokoontumisrakennukset","Rakennuksen kerrosala (m2) Opetusrakennukset","Rakennuksen kerrosala (m2) Teollisuusrakennukset","Rakennuksen kerrosala (m2) Varastorakennukset","Rakennuksen kerrosala (m2) Muut rakennukset"
"Yhteensä","Ilomantsi","2019",533532,256983,56843,30393,33912,13383,21254,28731,12688,25238,46598,6401,1108
"Yhteensä","Imatra","2019",2761867,964517,131628,473687,258646,61732,37335,45127,69808,78485,547099,87656,6147
"Yhteensä","Inari","2019",744441,318752,63002,21619,162839,18858,39492,7253,18357,30430,39662,18842,5335
"Yhteensä","Inkoo","2019",590688,310550,25442,22715,21857,11470,15828,6349,9961,13693,108446,42261,2116
"Yhteensä","Isojoki","2019",256725,128523,20296,2125,13273,4676,4233,9139,6962,6909,37418,21673,1498
"Yhteensä","Isokyrö","2019",414738,256006,25469,12477,26895,6442,12037,9920,7834,15724,30647,8580,2707
"Yhteensä","Janakkala","2019",1545414,662189,129526,180967,63863,28824,37459,38614,24601,54402,264468,49003,11498
"Yhteensä","Joensuu","2019",6830033,2072090,607983,1581561,596205,217411,161313,273975,126642,323486,643907,210633,14827
"Yhteensä","Jokioinen","2019",486051,263937,34517,25705,10184,9506,18397,15146,10426,30305,58284,8363,1281
"Yhteensä","Jomala","2019",500778,284110,15773,21466,45436,31234,17143,11238,2985,13688,26184,27277,4244
"Yhteensä","Joroinen","2019",457035,255420,49625,22849,17356,11663,14855,12064,7491,14706,35798,14199,1009
"Yhteensä","Joutsa","2019",471549,228670,56843,25092,45470,12041,8344,16226,9357,15109,39665,13964,768
"Yhteensä","Juuka","2019",513334,276070,43984,19329,26950,9746,10659,20566,12547,10416,66221,7938,8908
"Yhteensä","Juupajoki","2019",272013,114604,15443,9542,7546,8283,7884,3802,4080,6340,48035,44459,1995
"Yhteensä","Juva","2019",607568,326462,49014,53123,31721,7150,26985,21949,9443,22811,36660,20953,1297
"Yhteensä","Jyväskylä","2019",11460647,2924557,943950,3646518,921541,380120,294957,273696,265780,584267,924933,252671,47657
"Yhteensä","Jämijärvi","2019",198718,124137,8769,4881,8834,1532,5798,5160,10454,5195,14915,8717,326
"Yhteensä","Jämsä","2019",2356071,917015,170313,262807,194161,40268,47985,52486,43951,97086,439562,84260,6177
"Yhteensä","Järvenpää","2019",3129435,936756,442063,773762,157743,66577,51208,64474,64130,146119,279019,140770,6814
"Yhteensä","Kaarina","2019",2782392,1201227,318439,375468,132786,24858,48312,66606,33482,74550,391240,106580,8844
"Yhteensä","Kaavi","2019",282342,156712,28325,15525,12242,3996,4898,8021,5431,6782,34846,3774,1790
"Yhteensä","Kajaani","2019",3457602,1093473,265151,682188,286287,87620,111252,154793,72766,157246,372415,100558,73853
"Yhteensä","Kalajoki","2019",1199395,631129,70687,27597,108501,22825,22683,23510,34841,36265,119929,96785,4643
"Yhteensä","Kangasala","2019",2481157,1164853,219276,369008,85097,22828,30609,87631,43878,69793,293290,78312,16582
"Yhteensä","Kangasniemi","2019",561052,303252,49049,38148,23669,10401,17574,15130,13823,18339,54275,15846,1546
"Yhteensä","Kankaanpää","2019",1240792,537833,90162,112819,86853,22504,28339,47499,20458,60435,173456,52564,7870
"Yhteensä","Kannonkoski","2019",152927,80115,13715,1253,12703,725,3099,4144,11635,7370,15223,2324,621
"Yhteensä","Kannus","2019",562811,275591,46770,19641,40686,16289,16715,18370,15258,19288,59068,32470,2665
"Yhteensä","Karijoki","2019",154547,83041,13674,0,5965,1511,1959,4427,3728,3136,24257,12688,161
"Yhteensä","Karkkila","2019",801313,331807,55236,101438,46035,30149,17441,11598,8340,20184,140928,35919,2238
"Yhteensä","Karstula","2019",426462,222939,41889,7637,23160,9986,7990,6170,14935,13539,60666,16417,1134
"Yhteensä","Karvia","2019",257661,148519,19410,2785,14121,4889,8404,5773,4867,6838,31937,8622,1496
