"116h -- Rakennukset (lkm, m2) käyttötarkoituksen ja lämmitysaineen mukaan, 2019"

"Rakennuksen lämmitysaine","Alue","Vuosi","Rakennuksen kerrosala (m2) Yhteensä","Rakennuksen kerrosala (m2) Erilliset pientalot","Rakennuksen kerrosala (m2) Rivi- ja ketjutalot","Rakennuksen kerrosala (m2) Asuinkerrostalot","Rakennuksen kerrosala (m2) Liikerakennukset","Rakennuksen kerrosala (m2) Toimistorakennukset","Rakennuksen kerrosala (m2) Liikenteen rakennukset","Rakennuksen kerrosala (m2) Hoitoalan rakennukset","Rakennuksen kerrosala (m2) Kokoontumisrakennukset","Rakennuksen kerrosala (m2) Opetusrakennukset","Rakennuksen kerrosala (m2) Teollisuusrakennukset","Rakennuksen kerrosala (m2) Varastorakennukset","Rakennuksen kerrosala (m2) Muut rakennukset"
"Kauko- tai aluelämpö","Pelkosenniemi","2019",17923,252,3968,482,6392,610,147,3823,1277,0,356,0,616
"Kauko- tai aluelämpö","Pello","2019",22601,1542,4192,0,3257,360,377,1096,1205,5411,5075,86,0
"Kauko- tai aluelämpö","Perho","2019",41831,3460,8916,0,1683,1238,288,4303,2387,6506,12487,0,563
"Kauko- tai aluelämpö","Pertunmaa","2019",7619,309,1841,0,251,0,0,506,279,4433,0,0,0
"Kauko- tai aluelämpö","Petäjävesi","2019",60703,1934,11082,12306,2471,4335,0,7788,3646,14388,2037,0,716
"Kauko- tai aluelämpö","Pieksämäki","2019",754361,39831,80115,245450,72931,39397,48507,52966,23362,49667,89173,11292,1670
"Kauko- tai aluelämpö","Pielavesi","2019",117573,9369,23855,24765,10075,6339,1018,11275,4719,13524,11037,0,1597
"Kauko- tai aluelämpö","Pietarsaari","2019",684165,37391,59345,178026,102157,58121,3853,32273,29835,52330,124547,3415,2872
"Kauko- tai aluelämpö","Pihtipudas","2019",59094,2570,4890,969,5739,6360,1183,13615,6574,6730,8881,1583,0
"Kauko- tai aluelämpö","Pirkkala","2019",596348,42172,85888,236828,89454,8442,17027,20213,5112,25637,51147,13425,1003
"Kauko- tai aluelämpö","Polvijärvi","2019",65526,1822,11972,5619,5421,7282,0,11141,3498,4918,12206,960,687
"Kauko- tai aluelämpö","Pomarkku","2019",12146,319,1877,2250,0,1712,0,3927,2061,0,0,0,0
"Kauko- tai aluelämpö","Pori","2019",3926628,56600,143791,1508424,479025,281067,50713,247202,139892,285625,631935,79068,23286
"Kauko- tai aluelämpö","Pornainen","2019",14505,600,1064,1199,4726,0,0,2769,903,3244,0,0,0
"Kauko- tai aluelämpö","Porvoo","2019",1855989,142863,136772,712938,204455,78104,21992,102371,42841,128744,244285,39438,1186
"Kauko- tai aluelämpö","Posio","2019",53978,716,7508,4857,3289,5724,0,11198,3150,6812,9526,1198,0
"Kauko- tai aluelämpö","Pudasjärvi","2019",205969,25656,49904,26690,18960,14752,2314,12857,5227,23414,21509,775,3911
"Kauko- tai aluelämpö","Pukkila","2019",9285,3041,1415,0,0,0,0,4829,0,0,0,0,0
"Kauko- tai aluelämpö","Punkalaidun","2019",17885,119,0,11090,1421,1458,0,549,0,3248,0,0,0
"Kauko- tai aluelämpö","Puolanka","2019",74301,7531,20237,9023,3982,4444,1595,6651,1870,12351,4664,1953,0
"Kauko- tai aluelämpö","Puumala","2019",41618,386,6450,13872,3675,4573,0,5096,2988,4256,29,0,293
"Kauko- tai aluelämpö","Pyhtää","2019",27159,612,1530,3362,1817,0,0,4904,5225,8219,1490,0,0
"Kauko- tai aluelämpö","Pyhäjoki","2019",23381,1253,5695,2822,2933,1993,0,0,3502,4990,193,0,0
"Kauko- tai aluelämpö","Pyhäjärvi","2019",125470,11492,31461,22300,9700,1778,3081,17252,5366,7747,14362,58,873
"Kauko- tai aluelämpö","Pyhäntä","2019",28626,1733,9278,0,0,1440,0,2018,0,0,13602,443,112
"Kauko- tai aluelämpö","Pyhäranta","2019",1302,185,807,0,0,0,0,310,0,0,0,0,0
"Kauko- tai aluelämpö","Pälkäne","2019",44582,1178,1836,11911,12326,1806,0,4018,2017,8570,220,700,0
"Kauko- tai aluelämpö","Pöytyä","2019",80434,5617,25718,7506,4481,6650,0,14079,5041,8028,3314,0,0
"Kauko- tai aluelämpö","Raahe","2019",1291681,167137,134216,257631,120132,72999,11300,36470,32222,81170,359273,14825,4306
"Kauko- tai aluelämpö","Raasepori","2019",413352,30028,30375,173112,34283,10947,4001,53411,12454,46613,13972,604,3552
"Kauko- tai aluelämpö","Raisio","2019",1366496,104318,155563,400482,355714,35474,19388,26318,25255,80537,112986,49096,1365
"Kauko- tai aluelämpö","Rantasalmi","2019",63049,1377,4949,16772,9879,3844,0,2555,5248,4492,12963,432,538
"Kauko- tai aluelämpö","Ranua","2019",40882,640,6483,390,3132,2433,3017,6230,2956,10766,3832,0,1003
"Kauko- tai aluelämpö","Rauma","2019",1688956,82105,84522,578137,152919,85516,15344,57035,46303,115750,430033,40405,887
"Kauko- tai aluelämpö","Rautalampi","2019",45209,2647,14510,3522,3347,3504,450,6845,1989,7526,520,0,349
"Kauko- tai aluelämpö","Rautavaara","2019",31702,695,3077,7697,2143,4477,264,3967,3933,3984,612,0,853
"Kauko- tai aluelämpö","Rautjärvi","2019",147433,7771,17243,25169,6615,5685,1072,5814,2284,10345,64566,0,869
"Kauko- tai aluelämpö","Reisjärvi","2019",58468,3422,16303,0,5240,2102,0,3817,2592,11463,12821,103,605
"Kauko- tai aluelämpö","Riihimäki","2019",1267630,26367,54081,509011,157574,59967,24902,61499,38115,76665,208358,47892,3199
"Kauko- tai aluelämpö","Ristijärvi","2019",20676,2555,6213,2843,0,2376,0,2119,1299,2913,55,0,303
"Kauko- tai aluelämpö","Rovaniemi","2019",2614559,173057,231046,1063555,341257,155980,55985,129154,99478,223025,96926,26887,18209
"Kauko- tai aluelämpö","Ruokolahti","2019",68113,7409,13645,17517,5040,3860,0,10828,3700,6004,110,0,0
"Kauko- tai aluelämpö","Ruovesi","2019",57939,619,6667,9877,10507,3122,0,6959,244,14568,4672,0,704
"Kauko- tai aluelämpö","Rusko","2019",50756,1506,5307,3749,3746,1330,0,1720,2338,8628,20683,1514,235
"Kauko- tai aluelämpö","Rääkkylä","2019",41261,299,18886,0,2942,6037,0,4470,145,320,4512,3331,319
"Kauko- tai aluelämpö","Saarijärvi","2019",196634,6689,12398,63376,34926,22235,1980,18061,5168,23465,7534,0,802
"Kauko- tai aluelämpö","Salla","2019",95374,8050,12603,19894,14887,7172,742,18257,3789,5826,3110,30,1014
"Kauko- tai aluelämpö","Salo","2019",1348466,50864,117631,412083,179345,109458,9796,114715,61051,124286,135552,26523,7162
"Kauko- tai aluelämpö","Saltvik","2019",4303,1016,497,340,0,0,0,0,0,2450,0,0,0
"Kauko- tai aluelämpö","Sastamala","2019",269774,4793,16306,102844,42636,15863,0,19457,4803,31191,29143,2738,0
"Kauko- tai aluelämpö","Sauvo","2019",7226,180,4161,795,1014,320,0,756,0,0,0,0,0
"Kauko- tai aluelämpö","Savitaipale","2019",65446,3039,4046,10788,9537,3717,0,8306,6723,9711,8154,0,1425
"Kauko- tai aluelämpö","Savonlinna","2019",1068964,40255,67067,397292,149567,54045,3956,71850,37639,104759,128168,8531,5835
"Kauko- tai aluelämpö","Savukoski","2019",9919,94,1025,0,0,1069,0,4057,0,3674,0,0,0
"Kauko- tai aluelämpö","Seinäjoki","2019",3184676,432194,337241,770220,464353,144927,32355,110332,108803,239214,299274,233582,12181
"Kauko- tai aluelämpö","Sievi","2019",52742,5342,12266,2768,2214,0,311,8302,4983,8021,8472,63,0
"Kauko- tai aluelämpö","Siikainen","2019",10479,310,1736,0,470,566,0,4235,1354,1808,0,0,0
"Kauko- tai aluelämpö","Siikajoki","2019",63739,3986,9738,400,1891,8114,300,8106,2083,13968,9902,5109,142
"Kauko- tai aluelämpö","Siikalatva","2019",157820,4560,18498,256,6631,8442,1130,14445,4392,73409,24075,1522,460
"Kauko- tai aluelämpö","Siilinjärvi","2019",591394,43229,104856,151895,58399,28148,11491,57034,12298,55399,61838,5106,1701
"Kauko- tai aluelämpö","Simo","2019",22926,118,1969,0,3242,4672,0,6464,0,5198,1263,0,0
"Kauko- tai aluelämpö","Sipoo","2019",507567,20264,37097,189982,22194,15688,953,25005,17334,61710,43481,73734,125
"Kauko- tai aluelämpö","Siuntio","2019",48811,2987,7759,12612,2960,4005,63,9023,2131,7271,0,0,0
"Kauko- tai aluelämpö","Sodankylä","2019",270041,10485,63913,40110,38673,19207,12836,26030,9718,26837,17979,2462,1791
"Kauko- tai aluelämpö","Soini","2019",25434,1380,4424,0,1445,804,22,2447,144,3979,10297,492,0
"Kauko- tai aluelämpö","Somero","2019",182640,10047,35209,28798,18163,6754,515,32734,10390,12568,19827,6065,1570
"Kauko- tai aluelämpö","Sonkajärvi","2019",73572,5319,13003,6900,3062,7099,1893,10166,8224,11075,4779,1228,824
"Kauko- tai aluelämpö","Sotkamo","2019",419480,49332,37149,72445,80196,15580,7305,30528,19590,23213,75978,5765,2399
"Kauko- tai aluelämpö","Sottunga","2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kauko- tai aluelämpö","Sulkava","2019",19723,493,1146,1512,2166,3458,0,2898,2579,5207,28,236,0
"Kauko- tai aluelämpö","Sund","2019",2284,0,0,299,0,0,0,1985,0,0,0,0,0
"Kauko- tai aluelämpö","Suomussalmi","2019",264069,42738,40432,49275,27260,11615,2201,26409,9150,22905,26510,486,5088
"Kauko- tai aluelämpö","Suonenjoki","2019",228915,6490,19550,71462,18363,9815,1839,14359,5623,29775,47822,2553,1264
"Kauko- tai aluelämpö","Sysmä","2019",79246,4433,18874,20123,9501,5826,639,7014,3435,8001,1400,0,0
"Kauko- tai aluelämpö","Säkylä","2019",203402,3097,23647,27184,38861,6997,6543,16701,7134,9252,43776,12357,7853
"Kauko- tai aluelämpö","Taipalsaari","2019",71705,21150,13548,4245,10126,2115,56,7900,2662,9881,22,0,0
"Kauko- tai aluelämpö","Taivalkoski","2019",125211,19117,15808,15075,9985,5818,1267,12610,2157,22258,20440,0,676
"Kauko- tai aluelämpö","Taivassalo","2019",7728,614,570,0,1424,787,626,550,1960,458,0,0,739
"Kauko- tai aluelämpö","Tammela","2019",79815,2887,3952,12310,20608,7357,0,4935,12916,8708,5643,499,0
"Kauko- tai aluelämpö","Tampere","2019",14109765,306450,976684,7218751,1149878,1040935,194148,527456,367444,873564,1011336,418221,24898
"Kauko- tai aluelämpö","Tervo","2019",11754,646,3124,1739,1059,337,0,4799,50,0,0,0,0
"Kauko- tai aluelämpö","Tervola","2019",49233,2455,15533,1052,3579,2104,200,6298,1273,3419,11954,469,897
"Kauko- tai aluelämpö","Teuva","2019",86733,7282,14728,2298,8933,8331,0,9840,2311,16482,16074,454,0
"Kauko- tai aluelämpö","Tohmajärvi","2019",68899,1881,23118,7638,5802,6108,817,5391,2520,7620,6439,225,1340
"Kauko- tai aluelämpö","Toholampi","2019",67712,10910,12252,2578,7387,6557,661,7814,1162,11127,6788,0,476
"Kauko- tai aluelämpö","Toivakka","2019",16824,207,7755,0,1828,1374,523,1605,782,992,642,286,830
"Kauko- tai aluelämpö","Tornio","2019",993884,30890,19711,224359,146113,32338,7338,34364,27960,70690,372983,23629,3509
"Kauko- tai aluelämpö","Turku","2019",10883696,91136,735360,5505440,857427,649092,254177,550122,308522,650737,894119,368590,18974
"Kauko- tai aluelämpö","Tuusniemi","2019",18688,572,3775,1109,2675,2407,356,2605,42,4468,679,0,0
"Kauko- tai aluelämpö","Tuusula","2019",1019817,62152,105564,339394,99581,26519,12603,62941,41383,93097,77647,95374,3562
"Kauko- tai aluelämpö","Tyrnävä","2019",49326,1145,9283,4249,600,887,0,8289,3356,17860,2573,20,1064
"Kauko- tai aluelämpö","Ulvila","2019",255101,4638,17781,66642,18225,11531,0,27529,6138,35607,60413,3308,3289
"Kauko- tai aluelämpö","Urjala","2019",45960,779,2135,9097,1695,4591,0,9003,741,7178,10741,0,0
"Kauko- tai aluelämpö","Utajärvi","2019",50260,1076,7143,5209,5377,2088,407,7933,1883,5480,1487,0,12177
"Kauko- tai aluelämpö","Utsjoki","2019",4996,0,563,0,553,0,0,0,200,3680,0,0,0
"Kauko- tai aluelämpö","Uurainen","2019",26652,562,3304,2149,0,0,0,4892,1622,13655,468,0,0
"Kauko- tai aluelämpö","Uusikaarlepyy","2019",107068,5202,7350,38609,4502,3564,219,14295,4261,14583,5722,8761,0
"Kauko- tai aluelämpö","Uusikaupunki","2019",520910,22308,62221,172789,41784,18556,5380,36889,21508,27892,56698,50615,4270
"Kauko- tai aluelämpö","Vaala","2019",57727,3983,16806,2585,3740,4792,0,10549,2500,5033,5531,425,1783
"Kauko- tai aluelämpö","Vaasa","2019",4067643,233715,167106,1749121,523836,249577,45933,171796,84101,281583,477294,74663,8918
"Kauko- tai aluelämpö","Valkeakoski","2019",977264,39757,66616,329880,72890,15062,9126,36285,29606,68903,289604,13691,5844
"Kauko- tai aluelämpö","Vantaa","2019",13141773,526923,904445,5632018,882888,890007,534467,265445,155716,474008,1208944,1647084,19828
"Kauko- tai aluelämpö","Varkaus","2019",1004051,90767,95940,265191,122859,68736,17816,30381,33661,71083,195945,7465,4207
"Kauko- tai aluelämpö","Vehmaa","2019",30087,606,3964,4503,3673,0,0,5991,2099,6443,194,2583,31
"Kauko- tai aluelämpö","Vesanto","2019",21037,834,2611,991,3964,0,0,5394,2930,3368,530,0,415
"Kauko- tai aluelämpö","Vesilahti","2019",15756,547,0,0,0,0,0,5694,0,9515,0,0,0
"Kauko- tai aluelämpö","Veteli","2019",24164,803,4878,726,0,560,405,4740,464,5838,5610,0,140
"Kauko- tai aluelämpö","Vieremä","2019",153274,3223,15259,4850,1175,2811,891,8275,2112,3335,107437,2626,1280
"Kauko- tai aluelämpö","Vihti","2019",314768,8478,43468,123981,44941,5047,180,13673,5281,48429,21208,0,82
"Kauko- tai aluelämpö","Viitasaari","2019",314949,13717,30601,54797,26677,12612,2098,18079,15939,19438,113619,5838,1534
"Kauko- tai aluelämpö","Vimpeli","2019",19235,2275,2963,0,2626,187,0,7532,2167,0,102,1383,0
"Kauko- tai aluelämpö","Virolahti","2019",18084,157,1359,0,2045,512,110,0,2100,8078,1423,0,2300
"Kauko- tai aluelämpö","Virrat","2019",219952,13960,24050,59428,24119,15038,2065,13520,9188,16163,33089,6395,2937
"Kauko- tai aluelämpö","Vårdö","2019",1264,492,0,0,0,0,21,441,0,0,310,0,0
"Kauko- tai aluelämpö","Vöyri","2019",63012,6058,4983,7970,10918,7823,744,15933,1509,3047,2907,1120,0
"Kauko- tai aluelämpö","Ylitornio","2019",69707,7080,10691,7780,6520,10601,100,8214,6765,9954,1142,0,860
"Kauko- tai aluelämpö","Ylivieska","2019",633199,38789,50328,136748,155433,44436,14993,27991,15296,42809,85871,17667,2838
"Kauko- tai aluelämpö","Ylöjärvi","2019",599790,24827,54442,156801,86280,15110,1316,46588,21855,39256,123177,27460,2678
"Kauko- tai aluelämpö","Ypäjä","2019",14779,1507,1378,0,5272,1136,0,4185,0,1241,60,0,0
"Kauko- tai aluelämpö","Ähtäri","2019",163292,7782,22508,23900,22951,5497,1669,22213,7931,21367,23387,2953,1134
"Kauko- tai aluelämpö","Äänekoski","2019",645744,30877,25504,177614,72994,25551,4909,42509,21282,56877,156116,17268,14243
"Öljy, kaasu","KOKO MAA","2019",81378437,36615801,6131708,7369991,4635052,1416448,2034778,1424155,1449054,2435736,14392549,3148989,324176
"Öljy, kaasu","Akaa","2019",511069,151538,41181,66160,26931,8160,4038,6065,8096,8934,164114,15352,10500
"Öljy, kaasu","Alajärvi","2019",270592,116235,16208,5772,31173,8473,5843,4088,7731,11266,59040,4032,731
"Öljy, kaasu","Alavieska","2019",48439,21905,7193,360,446,1407,3405,3753,1477,2026,4907,846,714
"Öljy, kaasu","Alavus","2019",258237,112515,21050,5309,18907,3581,5934,13093,7789,6854,38640,22716,1849
"Öljy, kaasu","Asikkala","2019",196824,104971,14902,17164,4522,2071,2258,2990,5970,2799,29674,8619,884
"Öljy, kaasu","Askola","2019",122115,61588,11651,903,5088,1858,4909,3044,1282,9622,18116,2046,2008
"Öljy, kaasu","Aura","2019",94120,42345,5684,1129,9206,471,2432,1433,916,141,24360,3550,2453
"Öljy, kaasu","Brändö","2019",16347,12190,409,0,1489,150,112,571,84,35,1307,0,0
"Öljy, kaasu","Eckerö","2019",35208,17398,581,896,2879,330,96,665,11484,716,0,0,163
"Öljy, kaasu","Enonkoski","2019",15821,6627,2109,632,1773,368,0,0,632,561,3119,0,0
"Öljy, kaasu","Enontekiö","2019",48004,18408,5435,226,18314,217,1100,1005,2224,1075,0,0,0
"Öljy, kaasu","Espoo","2019",1431384,793124,92494,125712,47491,65019,24516,14547,31169,14289,107392,112691,2940
"Öljy, kaasu","Eura","2019",457902,157008,27578,15755,23443,4311,6322,4977,8220,13124,185906,10384,874
"Öljy, kaasu","Eurajoki","2019",215596,109185,19205,7178,12037,3927,7454,3162,3632,13435,27733,6560,2088
"Öljy, kaasu","Evijärvi","2019",71624,31129,3221,2180,1611,0,1279,306,3341,5354,22677,526,0
"Öljy, kaasu","Finström","2019",74470,52942,3816,6684,2328,116,663,320,1237,1158,4612,0,594
"Öljy, kaasu","Forssa","2019",382779,134784,9341,27853,41622,5866,13570,385,7545,1554,133052,5935,1272
"Öljy, kaasu","Föglö","2019",16472,10550,358,0,504,291,0,2229,0,292,2248,0,0
"Öljy, kaasu","Geta","2019",13972,7438,1437,0,1687,243,0,629,317,2161,0,0,60
"Öljy, kaasu","Haapajärvi","2019",121774,52300,3841,4863,11205,1448,3407,4327,1978,3379,33517,1202,307
"Öljy, kaasu","Haapavesi","2019",103680,49579,8953,4148,7977,0,6574,951,728,5807,15601,2758,604
"Öljy, kaasu","Hailuoto","2019",6776,2396,316,0,1533,0,458,0,1072,114,783,104,0
"Öljy, kaasu","Halsua","2019",24884,14748,602,0,867,274,657,711,677,1707,4075,566,0
"Öljy, kaasu","Hamina","2019",864348,230283,71171,113755,44433,34272,12538,32256,22284,27258,117985,155148,2965
"Öljy, kaasu","Hammarland","2019",45182,30205,1307,2790,401,0,810,1950,585,0,6677,0,457
"Öljy, kaasu","Hankasalmi","2019",87459,41031,11146,4917,7936,1310,930,480,4992,5114,8649,566,388
"Öljy, kaasu","Hanko","2019",518518,168033,24410,108498,31890,10487,19988,6111,9546,6646,105598,21948,5363
"Öljy, kaasu","Harjavalta","2019",185256,101654,10446,3891,10496,503,7167,1162,3843,6330,35880,3766,118
"Öljy, kaasu","Hartola","2019",74778,32269,5204,8143,8181,1780,2729,1401,500,6462,5474,2635,0
"Öljy, kaasu","Hattula","2019",277770,116248,18924,27710,14042,7249,3205,731,2872,8666,30439,46792,892
"Öljy, kaasu","Hausjärvi","2019",184280,75462,11986,13268,7227,2632,3560,5793,7895,10391,37922,7504,640
"Öljy, kaasu","Heinola","2019",406821,143810,21203,17657,12592,3075,16616,3723,2814,4511,178000,2820,0
"Öljy, kaasu","Heinävesi","2019",66632,18797,6997,7486,8651,365,3543,1878,1900,2843,13372,800,0
"Öljy, kaasu","Helsinki","2019",2093091,770223,250713,341914,70854,66890,49776,26708,29662,61333,302491,111467,11060
"Öljy, kaasu","Hirvensalmi","2019",34763,13538,7681,1540,3959,1001,1191,0,0,445,5408,0,0
"Öljy, kaasu","Hollola","2019",418553,216127,20903,8836,7486,3924,9611,3841,4465,4579,132677,5825,279
"Öljy, kaasu","Honkajoki","2019",66119,18512,5813,247,6007,1775,2681,955,3481,6231,19522,338,557
"Öljy, kaasu","Huittinen","2019",410678,152387,24846,32636,40271,11783,22298,9519,11224,12950,80989,10067,1708
"Öljy, kaasu","Humppila","2019",65084,21187,2651,6077,7161,0,748,0,2000,0,23141,1644,475
"Öljy, kaasu","Hyrynsalmi","2019",45017,22535,5518,467,3437,514,1674,310,212,2269,4782,1473,1826
"Öljy, kaasu","Hyvinkää","2019",576178,267127,23603,118298,20406,3781,9483,6741,2241,3179,53946,67165,208
"Öljy, kaasu","Hämeenkyrö","2019",225539,129107,14023,3583,9807,3425,4667,2009,2690,11271,37898,3530,3529
"Öljy, kaasu","Hämeenlinna","2019",955281,449386,66750,93879,57919,9855,28473,28931,12371,26875,159328,18699,2815
"Öljy, kaasu","Ii","2019",95889,41249,9059,920,7599,1173,3484,976,3313,6835,20117,1164,0
"Öljy, kaasu","Iisalmi","2019",297881,122766,24073,37082,19397,2311,21554,2585,2058,6732,55055,4268,0
"Öljy, kaasu","Iitti","2019",172365,79893,12624,12315,6598,280,3281,399,2760,6560,45936,790,929
"Öljy, kaasu","Ikaalinen","2019",219572,99220,9416,11649,23421,4306,3512,5288,444,7315,51804,2407,790
"Öljy, kaasu","Ilmajoki","2019",278294,138711,22999,10964,13623,8163,8929,7079,6353,11790,41212,5220,3251
"Öljy, kaasu","Ilomantsi","2019",52835,20878,10654,1251,8516,470,1565,2225,890,2279,3538,0,569
"Öljy, kaasu","Imatra","2019",659200,364180,32123,63821,50593,7571,12152,19113,24992,21505,48304,11418,3428
"Öljy, kaasu","Inari","2019",65300,10966,5010,3128,23590,6263,4318,0,7077,3377,1410,0,161
"Öljy, kaasu","Inkoo","2019",183745,58905,6179,13587,4406,9439,1301,5323,2845,8819,71304,263,1374
"Öljy, kaasu","Isojoki","2019",54010,19013,6677,1200,4530,3890,1249,0,445,726,13608,1754,918
"Öljy, kaasu","Isokyrö","2019",115902,50527,2786,10425,7766,5430,4318,733,4369,14757,13711,498,582
"Öljy, kaasu","Janakkala","2019",312281,161228,24646,9224,7671,11719,14039,1681,2670,17625,51006,9912,860
"Öljy, kaasu","Joensuu","2019",492655,230447,52247,58399,18686,9589,13221,14099,5296,11744,66186,12607,134
"Öljy, kaasu","Jokioinen","2019",121895,53750,11916,13451,3745,1797,4595,6086,915,598,24367,675,0
"Öljy, kaasu","Jomala","2019",117045,79186,1079,5622,2249,1760,2161,5445,1864,2603,8125,5333,1618
"Öljy, kaasu","Joroinen","2019",99730,40284,8425,11805,6218,2259,3955,0,0,2206,22840,918,820
"Öljy, kaasu","Joutsa","2019",97311,32875,20842,10431,9671,4816,1374,3742,2154,3215,7887,304,0
"Öljy, kaasu","Juuka","2019",89002,21756,22274,6456,12715,325,1945,3495,1833,2607,15116,480,0
"Öljy, kaasu","Juupajoki","2019",32531,17114,1781,1080,3982,1743,1445,0,1492,1765,2037,92,0
"Öljy, kaasu","Juva","2019",91494,40850,2784,13457,3034,0,4996,2113,2106,7462,13776,916,0
"Öljy, kaasu","Jyväskylä","2019",1255889,603940,155030,169895,37989,5672,23010,10113,18277,21414,177860,31938,751
"Öljy, kaasu","Jämijärvi","2019",60335,35851,3202,3380,3874,1532,1787,1030,1920,1689,5939,0,131
"Öljy, kaasu","Jämsä","2019",526064,232458,48803,71819,45996,12087,18809,7739,8058,11737,53911,12461,2186
"Öljy, kaasu","Järvenpää","2019",414846,202264,47590,50510,13059,3915,5512,1425,2496,7364,72880,6477,1354
"Öljy, kaasu","Kaarina","2019",763772,363596,52470,43081,29081,8991,7079,19351,6900,30559,183928,17911,825
"Öljy, kaasu","Kaavi","2019",84845,21167,9583,13594,6238,1109,1400,5846,1867,4904,17614,748,775
"Öljy, kaasu","Kajaani","2019",374100,176922,22861,37637,45264,4058,13128,8699,3761,4827,51660,5283,0
"Öljy, kaasu","Kalajoki","2019",261896,122940,22549,2775,22031,6462,8198,1417,8658,11348,47399,7990,129
"Öljy, kaasu","Kangasala","2019",661708,297894,49670,31494,17010,12873,13819,17588,10102,15153,166290,23451,6364
"Öljy, kaasu","Kangasniemi","2019",115377,21625,19228,17162,10123,5677,5498,448,5169,3902,25373,170,1002
"Öljy, kaasu","Kankaanpää","2019",346475,184152,19839,12797,14649,2126,11161,5543,4865,8894,67231,14833,385
"Öljy, kaasu","Kannonkoski","2019",26717,16235,4648,0,1038,478,641,0,710,593,2374,0,0
"Öljy, kaasu","Kannus","2019",95547,51300,10423,345,10834,218,6624,0,831,4293,7735,2648,296
"Öljy, kaasu","Karijoki","2019",42332,13919,3167,0,2689,1174,1442,0,747,2440,16554,200,0
"Öljy, kaasu","Karkkila","2019",291952,105395,21975,61935,23215,3306,3519,5374,2518,7036,44705,12453,521
"Öljy, kaasu","Karstula","2019",110545,53675,14826,3117,8062,3047,3205,632,1123,9946,12023,759,130
"Öljy, kaasu","Karvia","2019",80768,28271,11096,1085,9614,4441,3151,0,1223,3089,15179,2203,1416
"Öljy, kaasu","Kaskinen","2019",19271,10008,265,510,843,0,888,0,769,0,2990,1044,1954
"Öljy, kaasu","Kauhajoki","2019",342408,169880,36958,13826,24311,4351,8424,1351,5995,11442,58425,5744,1701
"Öljy, kaasu","Kauhava","2019",635804,294844,35299,10941,33249,8209,11586,11792,23268,17713,173862,10019,5022
"Öljy, kaasu","Kauniainen","2019",140444,78315,25702,29558,386,0,0,2317,810,0,2690,0,666
"Öljy, kaasu","Kaustinen","2019",102773,64581,11373,1214,1886,794,1852,672,1195,2623,12006,4176,401
"Öljy, kaasu","Keitele","2019",31112,15097,7038,480,2496,720,2232,432,638,516,1463,0,0
"Öljy, kaasu","Kemi","2019",371803,181607,14545,52378,24585,14035,21456,2560,5945,720,36731,16495,746
"Öljy, kaasu","Kemijärvi","2019",155181,79205,10405,16508,12393,208,5008,1029,332,8405,19977,1549,162
"Öljy, kaasu","Keminmaa","2019",191809,89168,29702,7765,18662,3993,10994,1063,1240,10004,16829,1363,1026
"Öljy, kaasu","Kemiönsaari","2019",216788,121816,8780,22524,14230,6609,3757,7480,9432,2550,17541,1560,509
"Öljy, kaasu","Kempele","2019",187157,118881,14954,1784,5424,7260,2037,0,1250,1278,31208,2793,288
"Öljy, kaasu","Kerava","2019",282455,147565,27521,21969,10040,840,3111,3321,3506,0,44540,19754,288
"Öljy, kaasu","Keuruu","2019",202901,89940,12410,31260,21653,512,7561,1012,5030,3129,21833,8561,0
"Öljy, kaasu","Kihniö","2019",46401,21084,4744,1063,1030,442,330,2527,953,3197,11031,0,0
"Öljy, kaasu","Kinnula","2019",24667,14084,3109,0,2065,0,200,0,0,3900,1309,0,0
"Öljy, kaasu","Kirkkonummi","2019",550727,261617,75585,29068,17914,6091,3051,10172,13334,28345,73640,30058,1852
"Öljy, kaasu","Kitee","2019",252013,61582,36939,25253,21095,3884,11625,1767,5858,12734,67234,3506,536
"Öljy, kaasu","Kittilä","2019",72415,26544,4874,3968,19644,2204,5467,1124,428,2336,4439,697,690
"Öljy, kaasu","Kiuruvesi","2019",71649,42686,3618,4349,2294,994,3824,1270,999,5657,5958,0,0
"Öljy, kaasu","Kivijärvi","2019",38860,14489,6255,2521,4985,759,178,0,3927,0,4823,310,613
"Öljy, kaasu","Kokemäki","2019",231277,106416,9628,14306,11265,6245,7769,4916,4581,7533,49327,7661,1630
"Öljy, kaasu","Kokkola","2019",896579,514522,52801,39205,37433,10283,18847,6524,19374,19146,158810,16650,2984
"Öljy, kaasu","Kolari","2019",122530,29838,7198,5358,30233,4531,5805,5855,998,14080,17379,585,670
"Öljy, kaasu","Konnevesi","2019",51259,24756,7013,745,3921,560,2308,1300,1330,4894,4188,244,0
"Öljy, kaasu","Kontiolahti","2019",108623,45316,25974,2534,4487,3562,2605,1236,903,3096,17510,0,1400
"Öljy, kaasu","Korsnäs","2019",94265,38441,5668,1353,6765,3521,3222,2715,1917,9394,14654,5999,616
"Öljy, kaasu","Koski Tl","2019",78767,32988,7910,4072,3320,1135,818,0,3957,7980,13302,1370,1915
"Öljy, kaasu","Kotka","2019",1374655,484962,96331,180602,73471,14477,36804,17215,9344,22193,203248,232237,3771
"Öljy, kaasu","Kouvola","2019",2048301,872075,180024,172975,129686,50029,47786,77549,28724,69553,251819,162015,6066
