"116g -- Rakennukset käyttötarkoituksen ja valmistumisvuoden mukaan, 2019"

"Valmistumisvuosi","Alue","Vuosi","Rakennuksen kerrosala (m2) Erilliset pientalot","Rakennuksen kerrosala (m2) Rivi- ja ketjutalot","Rakennuksen kerrosala (m2) Asuinkerrostalot","Rakennuksen kerrosala (m2) Liikerakennukset","Rakennuksen kerrosala (m2) Toimistorakennukset","Rakennuksen kerrosala (m2) Liikenteen rakennukset","Rakennuksen kerrosala (m2) Hoitoalan rakennukset","Rakennuksen kerrosala (m2) Kokoontumisrakennukset","Rakennuksen kerrosala (m2) Opetusrakennukset","Rakennuksen kerrosala (m2) Teollisuusrakennukset","Rakennuksen kerrosala (m2) Varastorakennukset","Rakennuksen kerrosala (m2) Muut rakennukset"
"1921 - 1939","Veteli","2019",6286,0,524,773,28,0,0,151,1842,1930,0,0
"1921 - 1939","Vieremä","2019",9375,0,0,0,0,0,0,261,0,0,0,923
"1921 - 1939","Vihti","2019",39959,270,1705,4227,0,234,4185,1297,4411,283,5037,0
"1921 - 1939","Viitasaari","2019",20600,0,0,364,619,600,380,325,1716,340,237,0
"1921 - 1939","Vimpeli","2019",3386,0,0,90,0,0,516,332,0,0,0,644
"1921 - 1939","Virolahti","2019",12048,0,544,122,850,190,576,0,0,884,166,381
"1921 - 1939","Virrat","2019",24647,1799,0,940,484,0,635,2750,685,485,200,0
"1921 - 1939","Vårdö","2019",1371,0,0,0,0,0,0,0,0,0,0,0
"1921 - 1939","Vöyri","2019",22679,0,2994,2710,1248,126,0,1126,1627,1544,180,0
"1921 - 1939","Ylitornio","2019",8242,200,0,0,0,904,0,309,1172,0,0,0
"1921 - 1939","Ylivieska","2019",8013,250,0,4788,0,52,667,0,1811,0,1609,0
"1921 - 1939","Ylöjärvi","2019",45224,0,1275,1822,230,299,3175,1054,1431,1037,130,178
"1921 - 1939","Ypäjä","2019",21025,0,0,2492,694,0,255,2591,878,1792,0,50
"1921 - 1939","Ähtäri","2019",18232,132,0,0,288,0,0,316,1566,226,0,0
"1921 - 1939","Äänekoski","2019",35252,1390,5254,2779,1582,0,317,1585,2842,185,0,0
"1940 - 1959","Akaa","2019",148696,1010,21557,6631,3100,1354,3395,8319,14459,16616,18064,1485
"1940 - 1959","Alajärvi","2019",85824,252,809,8408,2266,728,1013,1045,3261,969,0,536
"1940 - 1959","Alavieska","2019",17963,0,710,447,0,139,552,1188,3741,0,0,0
"1940 - 1959","Alavus","2019",101165,198,2660,12109,0,2858,12136,1653,6675,5011,1290,1164
"1940 - 1959","Asikkala","2019",67860,0,1328,2501,800,631,2527,7075,640,1347,95,102
"1940 - 1959","Askola","2019",35825,620,584,869,788,448,350,868,1520,3900,150,251
"1940 - 1959","Aura","2019",28469,0,389,1260,369,193,538,0,1020,180,3712,0
"1940 - 1959","Brändö","2019",3017,0,0,70,0,0,0,0,0,50,462,0
"1940 - 1959","Eckerö","2019",5001,0,0,0,0,0,0,0,0,0,0,135
"1940 - 1959","Enonkoski","2019",16119,0,782,499,0,83,974,1388,2771,0,0,0
"1940 - 1959","Enontekiö","2019",19471,352,226,2290,0,0,0,520,3325,120,0,0
"1940 - 1959","Espoo","2019",391257,42154,162334,13281,6995,2431,17240,14859,139012,34634,1626,1680
"1940 - 1959","Eura","2019",143332,1595,5320,5601,5654,2605,2001,2536,15019,7070,3964,1784
"1940 - 1959","Eurajoki","2019",69844,0,0,4471,1345,2238,700,908,9788,993,3183,544
"1940 - 1959","Evijärvi","2019",18606,0,830,1355,0,0,0,371,0,1016,140,0
"1940 - 1959","Finström","2019",16447,0,0,80,0,485,0,0,0,639,0,190
"1940 - 1959","Forssa","2019",86134,1514,31100,10278,9274,4489,11863,1059,19881,11126,1066,2325
"1940 - 1959","Föglö","2019",6375,0,319,120,0,0,0,431,292,0,0,0
"1940 - 1959","Geta","2019",2475,0,0,0,0,0,0,0,0,0,0,60
"1940 - 1959","Haapajärvi","2019",57028,0,3884,2203,3564,658,2082,2663,15512,364,310,2232
"1940 - 1959","Haapavesi","2019",50813,595,3836,1949,875,0,4982,1020,2735,570,10,24
"1940 - 1959","Hailuoto","2019",5389,0,0,0,0,0,0,282,0,0,104,0
"1940 - 1959","Halsua","2019",13707,374,0,462,472,0,254,0,2512,303,676,0
"1940 - 1959","Hamina","2019",167274,1782,32977,8853,4182,2950,7942,5284,21276,42807,11173,275
"1940 - 1959","Hammarland","2019",7507,371,991,80,0,0,0,0,0,0,0,296
"1940 - 1959","Hankasalmi","2019",64527,0,0,1509,458,150,815,3031,4325,555,500,125
"1940 - 1959","Hanko","2019",67055,1805,13546,6720,7731,2924,1992,210,9517,47821,3036,405
"1940 - 1959","Harjavalta","2019",63277,5746,17157,4143,5174,798,0,260,13071,15320,2687,0
"1940 - 1959","Hartola","2019",33881,0,1597,2046,1713,1769,2883,350,625,1532,420,0
"1940 - 1959","Hattula","2019",71897,145,10101,5310,0,732,4977,4109,9768,1367,170,1037
"1940 - 1959","Hausjärvi","2019",85567,270,4067,2568,1812,1830,2849,883,7210,7078,890,728
"1940 - 1959","Heinola","2019",122555,1488,39779,2036,6187,6995,8905,2638,9532,68532,2434,0
"1940 - 1959","Heinävesi","2019",49884,0,0,3310,1202,239,538,2248,2680,0,0,0
"1940 - 1959","Helsinki","2019",621086,109238,3007003,193008,663431,107351,172101,82822,357551,521631,105302,21738
"1940 - 1959","Hirvensalmi","2019",22519,0,406,1137,1256,0,0,310,0,660,362,18
"1940 - 1959","Hollola","2019",131218,0,1046,1656,709,1127,1234,214,11300,5452,450,497
"1940 - 1959","Honkajoki","2019",24063,815,247,1267,0,438,1663,243,4212,260,0,0
"1940 - 1959","Huittinen","2019",98802,990,2766,8386,3754,4527,1986,7050,7294,2189,2369,100
"1940 - 1959","Humppila","2019",35845,0,630,4245,0,1408,0,860,0,1289,2186,1458
"1940 - 1959","Hyrynsalmi","2019",33619,251,2020,3496,5140,166,264,907,4614,719,995,103
"1940 - 1959","Hyvinkää","2019",232486,3209,95527,10261,8370,2680,2917,2522,31050,27082,2938,393
"1940 - 1959","Hämeenkyrö","2019",86275,1939,4057,6542,2266,1053,240,4008,17498,9528,840,185
"1940 - 1959","Hämeenlinna","2019",375635,3093,138462,23660,11906,16029,27263,13412,58446,65545,16720,1184
"1940 - 1959","Ii","2019",61119,522,2084,1132,3777,739,882,1985,16274,235,655,80
"1940 - 1959","Iisalmi","2019",128679,228,19112,6692,4777,2237,15512,1390,10814,38969,87,629
"1940 - 1959","Iitti","2019",87149,426,5234,5390,643,0,4910,4133,5375,14119,260,0
"1940 - 1959","Ikaalinen","2019",59283,450,1154,2358,4085,1405,4114,630,8134,1104,1066,790
"1940 - 1959","Ilmajoki","2019",100680,0,1580,3010,192,1382,1976,958,5569,12488,585,654
"1940 - 1959","Ilomantsi","2019",70079,300,2557,3441,978,1965,3190,1489,7053,2028,55,569
"1940 - 1959","Imatra","2019",236953,748,47353,29830,13169,2425,1228,4559,29690,41419,4460,759
"1940 - 1959","Inari","2019",39933,1412,2947,10030,1362,381,103,425,6768,916,254,420
"1940 - 1959","Inkoo","2019",31259,0,0,630,1603,280,196,715,4126,2323,274,0
"1940 - 1959","Isojoki","2019",29068,204,1260,2187,100,120,0,1321,1410,332,91,535
"1940 - 1959","Isokyrö","2019",42719,431,1661,1061,319,670,210,1084,3591,2790,0,945
"1940 - 1959","Janakkala","2019",123774,3803,19966,6254,2243,3311,1483,2400,19592,25375,11026,805
"1940 - 1959","Joensuu","2019",297183,9150,89660,33929,21010,9678,39241,3956,39575,30476,2318,352
"1940 - 1959","Jokioinen","2019",51732,913,2443,650,0,1169,2535,70,2612,11697,0,457
"1940 - 1959","Jomala","2019",16310,0,632,290,0,253,0,1120,1813,2545,12,0
"1940 - 1959","Joroinen","2019",57717,0,3008,734,377,200,3775,820,9656,4480,0,73
"1940 - 1959","Joutsa","2019",44984,0,1765,2510,1717,1104,397,1132,696,2185,0,511
"1940 - 1959","Juuka","2019",74409,247,4567,2340,1057,407,4549,585,2105,341,78,0
"1940 - 1959","Juupajoki","2019",26820,0,0,1663,860,270,0,802,735,100,853,66
"1940 - 1959","Juva","2019",61326,267,1697,1232,440,879,5745,998,7555,0,495,58
"1940 - 1959","Jyväskylä","2019",491266,9936,284965,57465,16106,2314,21875,60607,104306,147720,2349,128
"1940 - 1959","Jämijärvi","2019",24743,0,1801,2296,603,861,360,491,1167,957,0,0
"1940 - 1959","Jämsä","2019",208031,6630,29519,11636,8645,2793,7400,2079,39401,95116,11359,144
"1940 - 1959","Järvenpää","2019",104412,2712,14424,4900,4326,1413,4258,4881,14156,10443,2348,188
"1940 - 1959","Kaarina","2019",166261,579,7318,4386,2708,1034,3147,1448,6855,19670,164,862
"1940 - 1959","Kaavi","2019",30235,0,1880,1013,398,95,289,230,810,0,0,775
"1940 - 1959","Kajaani","2019",178974,2533,85814,24717,10361,11192,14286,1794,42265,25290,13581,6225
"1940 - 1959","Kalajoki","2019",74789,1002,0,4987,644,1433,0,950,10782,1005,327,40
"1940 - 1959","Kangasala","2019",158609,2471,5938,2349,988,745,1625,2025,16400,39620,1812,54
"1940 - 1959","Kangasniemi","2019",63462,811,0,2858,2393,639,0,1175,4162,1887,261,0
"1940 - 1959","Kankaanpää","2019",75873,5156,20912,9080,3138,1436,3953,2565,14351,3866,0,246
"1940 - 1959","Kannonkoski","2019",22506,0,0,1106,544,0,0,108,405,236,0,0
"1940 - 1959","Kannus","2019",41974,231,834,1495,0,570,0,927,2983,205,241,139
"1940 - 1959","Karijoki","2019",15534,0,0,544,392,270,553,140,0,500,425,0
"1940 - 1959","Karkkila","2019",82492,1354,6690,6788,873,1433,2451,1091,11313,3540,0,245
"1940 - 1959","Karstula","2019",59138,542,647,4691,617,164,0,559,6882,1432,490,844
"1940 - 1959","Karvia","2019",21502,0,1335,3600,0,291,862,614,815,603,0,0
"1940 - 1959","Kaskinen","2019",6431,0,1368,236,718,0,0,303,0,1110,0,16
"1940 - 1959","Kauhajoki","2019",122249,222,4090,4291,2082,486,0,4516,13582,20505,855,1523
"1940 - 1959","Kauhava","2019",125892,1800,3707,5021,2004,1386,2918,3003,13554,18961,6057,962
"1940 - 1959","Kauniainen","2019",18471,0,320,1200,0,0,1649,7241,0,305,0,0
"1940 - 1959","Kaustinen","2019",17443,0,275,360,732,0,3750,612,5968,0,0,0
"1940 - 1959","Keitele","2019",27640,0,1074,1276,140,175,432,300,3260,0,0,0
"1940 - 1959","Kemi","2019",126294,1161,70162,22014,11744,11813,36195,7153,18814,90019,5788,82
"1940 - 1959","Kemijärvi","2019",76824,2571,4638,10439,4771,2121,6739,2656,19212,1502,24,252
"1940 - 1959","Keminmaa","2019",40778,0,170,4234,1580,640,0,424,3630,3600,420,0
"1940 - 1959","Kemiönsaari","2019",88039,2361,2479,2865,2489,700,1343,2478,6545,988,648,726
"1940 - 1959","Kempele","2019",18970,0,0,1674,0,0,0,0,1337,0,0,0
"1940 - 1959","Kerava","2019",66897,1511,22411,3971,1530,204,5880,1273,38516,2683,0,0
"1940 - 1959","Keuruu","2019",108430,4199,11865,6997,5719,650,17728,3537,10153,6853,728,249
"1940 - 1959","Kihniö","2019",22212,0,1409,450,280,0,1920,490,1082,240,225,0
"1940 - 1959","Kinnula","2019",26725,363,0,1866,1471,0,0,0,3900,385,0,914
"1940 - 1959","Kirkkonummi","2019",65156,0,9382,1364,1336,0,3353,1375,1797,2874,132,818
"1940 - 1959","Kitee","2019",96749,809,2539,5985,1760,1028,3642,3756,22143,3089,71,1879
"1940 - 1959","Kittilä","2019",47680,205,1077,5498,1621,1192,0,986,13823,430,0,135
"1940 - 1959","Kiuruvesi","2019",93314,0,4795,2846,604,445,613,3902,11422,940,281,157
"1940 - 1959","Kivijärvi","2019",22466,0,1796,939,340,0,240,729,786,263,0,0
"1940 - 1959","Kokemäki","2019",95645,600,2944,2915,7937,958,3239,294,17874,7302,1602,317
"1940 - 1959","Kokkola","2019",230595,8277,44064,23495,20968,2820,8459,8429,29094,23919,11103,2248
"1940 - 1959","Kolari","2019",46281,823,610,1935,1194,1328,946,1129,7549,110,0,0
"1940 - 1959","Konnevesi","2019",38598,0,954,1646,0,152,0,1725,2922,753,0,344
"1940 - 1959","Kontiolahti","2019",64592,136,4010,2922,630,423,10036,413,18136,2744,0,25
"1940 - 1959","Korsnäs","2019",17390,0,1185,467,418,465,0,1223,1478,1573,141,0
"1940 - 1959","Koski Tl","2019",28976,0,0,3157,0,606,308,1595,7413,234,0,45
"1940 - 1959","Kotka","2019",317555,3477,204757,26847,24945,8312,17452,9268,44615,44722,45766,891
"1940 - 1959","Kouvola","2019",722670,1515,142201,49316,39493,10088,39558,11086,81423,50208,13145,3032
"1940 - 1959","Kristiinankaupunki","2019",70875,1196,434,3775,667,2180,1700,2122,2091,5078,2001,1611
"1940 - 1959","Kruunupyy","2019",67377,426,540,1910,560,118,251,0,5069,3986,0,280
"1940 - 1959","Kuhmo","2019",78998,0,1150,10318,2017,743,543,4050,17574,36654,0,1085
"1940 - 1959","Kuhmoinen","2019",30233,0,692,5010,906,1753,511,60,1500,2695,120,541
"1940 - 1959","Kumlinge","2019",2331,0,0,958,0,20,0,0,1106,0,0,0
"1940 - 1959","Kuopio","2019",495126,9351,265311,28954,58891,3124,243250,9164,89377,20963,13204,11256
"1940 - 1959","Kuortane","2019",49160,467,1040,5667,1627,994,422,1858,2418,1566,1054,0
"1940 - 1959","Kurikka","2019",211797,580,4802,7380,2110,8418,2325,2337,22091,29179,4570,525
"1940 - 1959","Kustavi","2019",7544,0,0,2530,255,375,228,0,406,695,0,270
"1940 - 1959","Kuusamo","2019",116463,1699,5585,15089,1246,1484,1017,7615,19294,13734,155,99
"1940 - 1959","Kyyjärvi","2019",22506,0,174,437,0,490,798,658,424,663,620,0
"1940 - 1959","Kärkölä","2019",51532,738,1633,1555,3326,632,0,1155,2521,4754,897,233
"1940 - 1959","Kärsämäki","2019",31503,221,260,936,1276,0,240,199,2169,392,208,443
"1940 - 1959","Kökar","2019",2031,0,0,134,0,0,0,0,0,0,0,0
"1940 - 1959","Lahti","2019",464937,1916,408217,36254,54526,13374,31412,19525,86367,189936,17910,1971
"1940 - 1959","Laihia","2019",52459,0,2013,360,1486,670,0,782,8794,3481,1288,0
"1940 - 1959","Laitila","2019",55932,0,2230,7100,85,1073,12631,929,13096,4227,867,209
"1940 - 1959","Lapinjärvi","2019",37513,293,1129,830,1005,1006,832,279,2406,7729,697,485
"1940 - 1959","Lapinlahti","2019",93159,0,1167,1656,0,1840,792,1900,3756,14770,154,2635
"1940 - 1959","Lappajärvi","2019",30602,0,468,760,313,56,0,837,0,854,0,127
"1940 - 1959","Lappeenranta","2019",366032,5122,117132,29406,16943,4983,7515,5713,46045,90215,18894,1169
"1940 - 1959","Lapua","2019",121197,0,6863,7101,5971,472,1010,3111,19537,3809,1272,54
"1940 - 1959","Laukaa","2019",124137,1524,6177,1218,558,1788,6727,1202,23738,3190,1137,0
"1940 - 1959","Lemi","2019",22818,0,0,665,220,0,315,1028,0,983,0,806
"1940 - 1959","Lemland","2019",7411,0,719,0,0,0,0,0,0,0,0,0
"1940 - 1959","Lempäälä","2019",125545,0,2790,1022,2289,473,1422,1217,22499,14112,2012,187
"1940 - 1959","Leppävirta","2019",84732,1620,4312,2801,450,450,7092,1010,10563,488,149,92
"1940 - 1959","Lestijärvi","2019",8649,0,0,622,491,0,2190,240,473,162,0,0
"1940 - 1959","Lieksa","2019",176233,0,8668,9940,5407,1353,13505,3053,26709,7458,720,1058
"1940 - 1959","Lieto","2019",100378,140,2303,2513,2422,1537,0,709,7365,1455,540,901
"1940 - 1959","Liminka","2019",22388,0,400,1152,360,125,1006,1325,8342,4902,0,0
"1940 - 1959","Liperi","2019",88208,1697,1237,9774,4533,788,2387,1412,5685,1484,2864,0
"1940 - 1959","Lohja","2019",267005,5134,35211,31412,13996,3510,17482,14874,44265,75343,15237,2308
"1940 - 1959","Loimaa","2019",179586,1750,8845,8680,6094,6246,2935,2270,27535,35327,6335,860
"1940 - 1959","Loppi","2019",63945,225,1802,3732,289,611,782,3225,5168,0,125,675
"1940 - 1959","Loviisa","2019",130433,2159,14292,5128,840,2294,6604,3112,11412,21589,1534,938
"1940 - 1959","Luhanka","2019",15247,0,737,1422,520,117,0,425,850,0,648,453
"1940 - 1959","Lumijoki","2019",4823,0,0,80,0,170,0,0,3961,45,0,0
"1940 - 1959","Lumparland","2019",3839,0,0,0,0,0,0,0,0,0,0,0
"1940 - 1959","Luoto","2019",16971,308,0,391,0,0,0,480,0,0,0,0
"1940 - 1959","Luumäki","2019",58127,1403,626,4655,672,971,1457,2365,880,5020,260,0
"1940 - 1959","Maalahti","2019",39720,0,345,849,769,10,740,200,3695,2172,490,138
"1940 - 1959","Maarianhamina - Mariehamn","2019",62138,1018,40735,4508,7674,366,26216,3915,824,1096,540,0
"1940 - 1959","Marttila","2019",23871,0,392,310,3038,232,0,523,0,382,485,0
"1940 - 1959","Masku","2019",39997,0,0,841,633,0,828,689,4021,234,0,1286
"1940 - 1959","Merijärvi","2019",8660,0,0,363,262,0,0,0,3465,0,0,0
"1940 - 1959","Merikarvia","2019",33074,0,1204,2161,230,57,0,298,4720,489,60,0
"1940 - 1959","Miehikkälä","2019",35711,188,590,1952,42,162,4638,0,1631,465,0,175
"1940 - 1959","Mikkeli","2019",244960,1832,58652,29424,21458,3565,9310,3771,33681,26872,15944,512
"1940 - 1959","Muhos","2019",53984,3833,4959,1057,2318,115,2857,1473,8951,1934,128,826
"1940 - 1959","Multia","2019",26067,0,550,844,0,252,0,0,4193,316,680,358
"1940 - 1959","Muonio","2019",28522,576,378,4566,2204,2950,730,1289,3612,45,700,489
"1940 - 1959","Mustasaari","2019",90607,0,1028,2362,1109,638,2677,1944,6390,4761,45,0
"1940 - 1959","Muurame","2019",23367,0,1041,2896,0,0,1054,0,1663,251,0,434
"1940 - 1959","Mynämäki","2019",67979,0,3169,2496,3325,1894,977,759,4700,5122,1273,668
"1940 - 1959","Myrskylä","2019",27326,454,0,1203,545,1230,0,150,1325,513,0,635
"1940 - 1959","Mäntsälä","2019",98359,250,570,7676,2337,1870,988,522,5309,505,297,282
"1940 - 1959","Mänttä-Vilppula","2019",102304,422,23083,8091,2541,640,12608,3446,16699,7192,1899,1774
"1940 - 1959","Mäntyharju","2019",64592,915,3476,868,0,4845,3556,561,4131,10751,165,0
"1940 - 1959","Naantali","2019",64501,110,6166,2580,2029,709,5260,2779,16722,7100,11648,551
"1940 - 1959","Nakkila","2019",49326,410,1010,934,1337,4663,0,796,3931,4235,8082,700
"1940 - 1959","Nivala","2019",68888,408,384,2658,697,1984,1471,600,2745,300,128,350
"1940 - 1959","Nokia","2019",188499,1945,37700,8933,7654,1133,9583,3406,21812,192372,7973,1075
"1940 - 1959","Nousiainen","2019",33750,0,3132,593,459,0,0,256,1334,0,0,143
"1940 - 1959","Nurmes","2019",123884,1050,11860,14807,3399,4378,3702,3355,20997,2450,200,586
"1940 - 1959","Nurmijärvi","2019",134699,0,2574,5124,1060,677,12228,743,34149,5112,759,220
"1940 - 1959","Närpiö","2019",72862,1600,3184,5269,2775,914,2360,1272,0,1175,2214,0
"1940 - 1959","Orimattila","2019",166284,0,4735,20269,7716,2491,3005,4561,13344,11066,259,4320
"1940 - 1959","Oripää","2019",12814,144,1640,1257,1062,644,0,460,1794,0,0,200
"1940 - 1959","Orivesi","2019",90887,630,3890,4522,885,754,4509,2159,6383,1823,1813,461
"1940 - 1959","Oulainen","2019",47470,935,920,3309,2980,100,18751,346,2787,1206,80,0
"1940 - 1959","Oulu","2019",406596,18276,337527,46408,34015,20915,19205,19749,98170,75335,6128,3543
"1940 - 1959","Outokumpu","2019",81701,4139,5618,4590,5107,692,5639,6481,5354,7524,465,145
"1940 - 1959","Padasjoki","2019",37904,0,1122,3245,260,868,0,1922,2456,6107,500,0
"1940 - 1959","Paimio","2019",58268,1123,5155,2016,1930,608,1200,1710,10220,1585,236,0
"1940 - 1959","Paltamo","2019",39984,1725,3518,1813,288,3095,0,657,8415,1533,110,0
"1940 - 1959","Parainen","2019",108732,6214,4110,4713,9071,844,1439,1315,15935,3731,409,0
"1940 - 1959","Parikkala","2019",78259,753,1307,6068,4497,959,662,1296,3211,1088,70,1369
"1940 - 1959","Parkano","2019",65934,0,2007,4531,1635,236,5930,1243,10044,11500,849,172
"1940 - 1959","Pedersören kunta","2019",55729,220,2167,903,490,11,0,1625,2501,5374,0,461
"1940 - 1959","Pelkosenniemi","2019",14647,200,1552,1820,290,0,600,0,233,70,0,85
"1940 - 1959","Pello","2019",58986,0,2164,3445,3801,708,0,1927,8664,490,794,0
"1940 - 1959","Perho","2019",27494,682,0,1368,730,347,426,254,1930,0,0,0
"1940 - 1959","Pertunmaa","2019",19257,0,495,2676,592,130,220,0,678,670,0,0
"1940 - 1959","Petäjävesi","2019",43275,0,722,1019,335,505,0,635,4722,2837,590,0
"1940 - 1959","Pieksämäki","2019",153487,2308,25584,11143,8872,1380,9619,1745,26755,13723,829,583
"1940 - 1959","Pielavesi","2019",63381,0,1368,1758,743,154,1637,1387,7490,1100,440,0
"1940 - 1959","Pietarsaari","2019",92633,3477,33188,10772,844,1315,3817,3027,7245,6538,1683,0
"1940 - 1959","Pihtipudas","2019",69786,0,503,1942,1216,163,270,1237,6127,1211,0,1350
"1940 - 1959","Pirkkala","2019",67278,563,1110,795,0,22,435,29,6543,5009,76,28
"1940 - 1959","Polvijärvi","2019",49416,616,748,2252,579,424,216,1944,6102,6022,0,940
"1940 - 1959","Pomarkku","2019",23031,0,550,859,1290,95,1505,596,2362,248,2634,0
"1940 - 1959","Pori","2019",495353,18926,202357,36409,38093,18630,12300,10465,63574,171566,78709,1367
"1940 - 1959","Pornainen","2019",25806,0,0,769,1170,130,1250,0,505,203,0,0
"1940 - 1959","Porvoo","2019",227766,1477,28942,8826,7897,826,1635,5230,41134,17942,17935,746
"1940 - 1959","Posio","2019",34685,0,181,4009,948,445,899,427,2393,305,395,0
"1940 - 1959","Pudasjärvi","2019",64768,1854,1889,4368,1084,482,4574,1118,9159,2790,360,390
"1940 - 1959","Pukkila","2019",19863,0,238,1230,215,591,1236,850,1795,827,167,0
"1940 - 1959","Punkalaidun","2019",45911,0,6824,4023,1605,1705,5965,1541,3291,5995,635,407
"1940 - 1959","Puolanka","2019",34293,0,160,1542,1020,803,2467,1780,2115,1041,160,0
"1940 - 1959","Puumala","2019",26916,378,0,350,626,304,1223,414,4209,0,0,0
"1940 - 1959","Pyhtää","2019",56712,552,1350,425,510,753,1266,591,790,2280,142,110
"1940 - 1959","Pyhäjoki","2019",16700,761,170,545,265,0,2716,737,963,340,0,1005
"1940 - 1959","Pyhäjärvi","2019",42199,731,165,4097,1649,663,0,566,7792,0,0,1485
"1940 - 1959","Pyhäntä","2019",12650,0,0,978,0,0,302,0,998,0,50,0
"1940 - 1959","Pyhäranta","2019",17133,0,0,169,2129,0,0,195,732,8802,0,0
"1940 - 1959","Pälkäne","2019",64339,400,1550,4636,826,6958,203,1781,12970,2337,302,530
"1940 - 1959","Pöytyä","2019",86875,0,2716,2079,447,341,2720,0,4718,3551,1527,447
"1940 - 1959","Raahe","2019",96160,1618,6349,3519,1987,628,2921,1122,16265,9597,540,839
"1940 - 1959","Raasepori","2019",219812,2508,25118,19763,14890,4146,27106,6678,29758,25951,5171,2735
"1940 - 1959","Raisio","2019",111217,407,6674,657,1490,135,4283,1660,17997,2364,30,48
"1940 - 1959","Rantasalmi","2019",53436,0,0,400,673,849,591,582,3630,655,0,142
"1940 - 1959","Ranua","2019",28008,0,1451,1458,1610,0,2820,0,8252,1696,287,84
"1940 - 1959","Rauma","2019",256236,4278,81154,11234,9976,3158,24290,7522,12310,58619,1178,109
"1940 - 1959","Rautalampi","2019",50848,632,1808,3056,620,649,1896,676,7999,647,216,71
"1940 - 1959","Rautavaara","2019",26721,0,1017,236,4351,0,204,820,2122,0,116,777
"1940 - 1959","Rautjärvi","2019",55595,0,1486,2160,2557,556,0,1137,4705,29912,0,0
"1940 - 1959","Reisjärvi","2019",23257,0,0,140,600,50,476,998,6524,0,70,0
"1940 - 1959","Riihimäki","2019",147655,3918,55132,14235,11970,11564,11694,9521,5613,2074,9068,157
"1940 - 1959","Ristijärvi","2019",18165,452,960,350,201,0,1531,1099,3158,189,0,0
"1940 - 1959","Rovaniemi","2019",221525,11019,90463,28004,46726,9722,21289,6356,49323,5885,22233,1140
"1940 - 1959","Ruokolahti","2019",48550,0,1808,1840,705,380,325,883,6636,289,0,135
"1940 - 1959","Ruovesi","2019",60741,0,2624,2948,3951,575,280,675,1743,640,0,802
"1940 - 1959","Rusko","2019",26084,0,384,0,560,589,1300,387,1152,3287,100,325
"1940 - 1959","Rääkkylä","2019",36359,0,1193,346,0,0,0,301,1781,938,0,0
"1940 - 1959","Saarijärvi","2019",111951,280,2996,4669,0,1698,447,3516,6618,400,0,1512
"1940 - 1959","Salla","2019",90585,890,3502,5927,746,631,10224,2390,5138,1921,188,24
"1940 - 1959","Salo","2019",396765,7831,25922,27161,11353,4836,10238,10536,28397,32944,10296,5718
"1940 - 1959","Saltvik","2019",14650,0,340,2007,503,0,0,0,2450,825,0,66
"1940 - 1959","Sastamala","2019",230612,2003,15404,12749,8230,4536,3611,2597,13870,54466,1950,985
"1940 - 1959","Sauvo","2019",29887,260,857,600,315,355,1712,300,0,339,66,132
"1940 - 1959","Savitaipale","2019",35163,270,1188,1733,1369,3226,1050,1395,1071,6061,400,1425
"1940 - 1959","Savonlinna","2019",247083,4220,61004,21144,5888,2894,26566,9723,25565,27430,2284,1702
"1940 - 1959","Savukoski","2019",12592,0,0,671,0,0,541,721,3347,0,0,0
"1940 - 1959","Seinäjoki","2019",215563,474,33942,22356,10771,1915,7409,10800,36944,6605,2042,348
"1940 - 1959","Sievi","2019",30799,0,0,180,223,435,1886,1135,2835,130,0,0
"1940 - 1959","Siikainen","2019",16613,0,0,663,0,0,1192,785,1836,223,0,0
"1940 - 1959","Siikajoki","2019",40713,411,561,614,714,300,598,375,2376,208,0,185
"1940 - 1959","Siikalatva","2019",56217,1780,1160,322,2120,1208,486,2824,64178,314,646,748
"1940 - 1959","Siilinjärvi","2019",63631,176,3601,6495,0,3487,2638,1930,15491,10478,153,748
"1940 - 1959","Simo","2019",17885,0,1029,464,0,56,178,0,1325,0,0,0
"1940 - 1959","Sipoo","2019",108328,498,619,3613,1368,1293,1130,2058,6593,1240,0,70
"1940 - 1959","Siuntio","2019",25898,492,0,2692,170,933,0,423,827,0,383,1067
"1940 - 1959","Sodankylä","2019",64591,540,829,6526,3306,180,671,2128,13641,100,0,0
"1940 - 1959","Soini","2019",28526,220,0,2137,325,376,1995,613,2348,240,0,0
"1940 - 1959","Somero","2019",113956,1038,4681,9860,1953,1469,2255,1033,2715,4846,4231,371
"1940 - 1959","Sonkajärvi","2019",59481,0,0,1434,0,59,2024,1769,2383,0,0,0
"1940 - 1959","Sotkamo","2019",86091,0,3510,7623,2087,0,0,4733,12145,3715,654,0
"1940 - 1959","Sottunga","2019",2405,0,0,0,0,0,0,0,0,0,0,0
"1940 - 1959","Sulkava","2019",36076,495,1071,4551,2170,918,1483,289,2728,2595,0,814
"1940 - 1959","Sund","2019",9902,0,463,418,0,242,0,208,440,0,0,190
"1940 - 1959","Suomussalmi","2019",81078,718,3012,14146,4362,1503,2827,2044,6922,3833,0,4478
"1940 - 1959","Suonenjoki","2019",71809,0,7162,3300,0,240,684,3805,8507,9000,0,85
"1940 - 1959","Sysmä","2019",54191,0,1478,1626,1355,1684,3086,190,3502,3665,302,0
"1940 - 1959","Säkylä","2019",71828,695,575,2126,222,635,465,980,4552,32784,0,0
