"year","emission","energy_use","emission_factor","final_use","level5","municipality","emission_trade","gas"
2006,6.474,29.15,0.222092624356775,"district heating",NA,"Joensuu","Ei","CO2e"
2006,0.652,2.934,0.222222222222222,"district heating",NA,"Jomala","Ei","CO2e"
2006,3.437,12.114,0.283721314181938,"district heating",NA,"Joroinen","Ei","CO2e"
2006,4.855,13.209,0.367552426375956,"district heating",NA,"Joutsa","Ei","CO2e"
2006,1.112,15.159,0.0733557622534468,"district heating",NA,"Juuka","Ei","CO2e"
2006,1.592,7.167,0.22212920329287,"district heating",NA,"Juupajoki","Ei","CO2e"
2006,13.448,29.601,0.454308976048106,"district heating",NA,"Juva","Ei","CO2e"
2006,40.922,177.594,0.230424451276507,"district heating",NA,"Jyväskylä","Ei","CO2e"
2006,3.187,13.227,0.240946548726091,"district heating",NA,"Kaarina","Ei","CO2e"
2006,0.057,0.255,0.223529411764706,"district heating",NA,"Kaavi","Ei","CO2e"
2006,15.599,70.24,0.222081435079727,"district heating",NA,"Kajaani","Ei","CO2e"
2006,6.044,27.806,0.217363159030425,"district heating",NA,"Kalajoki","Ei","CO2e"
2006,18.997,83.949,0.226292153569429,"district heating",NA,"Kangasala","Ei","CO2e"
2006,2.652,11.305,0.234586466165414,"district heating",NA,"Kangasniemi","Ei","CO2e"
2006,2.85,9.261,0.307742144476838,"district heating",NA,"Kankaanpää","Ei","CO2e"
2006,0.721,3.242,0.222393584207279,"district heating",NA,"Kannonkoski","Ei","CO2e"
2006,0.032,0.145,0.220689655172414,"district heating",NA,"Karijoki","Ei","CO2e"
2006,8.541,17.787,0.480182155506831,"district heating",NA,"Karkkila","Ei","CO2e"
2006,2.913,13.12,0.22202743902439,"district heating",NA,"Kärkölä","Ei","CO2e"
2006,2.933,11.848,0.24755232950709,"district heating",NA,"Kärsämäki","Ei","CO2e"
2006,0.477,15.232,0.0313156512605042,"district heating",NA,"Karstula","Ei","CO2e"
2006,0.931,3.825,0.243398692810458,"district heating",NA,"Karvia","Ei","CO2e"
2006,6.887,27.112,0.254020359988197,"district heating",NA,"Kaskinen","Ei","CO2e"
2006,22.926,48.932,0.468527752799804,"district heating",NA,"Kauhajoki","Ei","CO2e"
2006,4.938,24.082,0.205049414500457,"district heating",NA,"Kauhava","Ei","CO2e"
2006,0.361,1.494,0.241633199464525,"district heating",NA,"Kauniainen","Ei","CO2e"
2006,2.974,13.395,0.222023142963792,"district heating",NA,"Kaustinen","Ei","CO2e"
2006,0.89,13.264,0.0670989143546441,"district heating",NA,"Keitele","Ei","CO2e"
2006,10.913,49.146,0.222052659422944,"district heating",NA,"Kemi","Ei","CO2e"
2006,1.556,6.409,0.242783585582774,"district heating",NA,"Kemijärvi","Ei","CO2e"
2006,4.593,21.053,0.218163682135563,"district heating",NA,"Keminmaa","Ei","CO2e"
2006,0.791,19.157,0.0412903899357937,"district heating",NA,"Kemiönsaari","Ei","CO2e"
2006,7.024,26.927,0.260853418501875,"district heating",NA,"Kempele","Ei","CO2e"
2006,1.57,7.539,0.208250431091657,"district heating",NA,"Kerava","Ei","CO2e"
2006,9.705,54.895,0.176792057564441,"district heating",NA,"Keuruu","Ei","CO2e"
2006,0.144,0.922,0.156182212581345,"district heating",NA,"Kihniö","Ei","CO2e"
2006,0.217,6.896,0.0314675174013921,"district heating",NA,"Kinnula","Ei","CO2e"
2006,7.43,32.994,0.225192459235012,"district heating",NA,"Kirkkonummi","Ei","CO2e"
2006,6.624,51.332,0.129042312787345,"district heating",NA,"Kitee","Ei","CO2e"
2006,4.567,20.445,0.223379799461971,"district heating",NA,"Kittilä","Ei","CO2e"
2006,1.405,39.527,0.0355453234497938,"district heating",NA,"Kiuruvesi","Ei","CO2e"
2006,0.102,0.461,0.221258134490239,"district heating",NA,"Kivijärvi","Ei","CO2e"
2006,7.645,32.001,0.238898784412987,"district heating",NA,"Kokemäki","Ei","CO2e"
2006,2.249,8.261,0.272243069846266,"district heating",NA,"Kokkola","Ei","CO2e"
2006,1.756,5.457,0.32178852849551,"district heating",NA,"Kolari","Ei","CO2e"
2006,2.733,7.152,0.382130872483221,"district heating",NA,"Konnevesi","Ei","CO2e"
2006,2.973,17.621,0.168719141932921,"district heating",NA,"Kontiolahti","Ei","CO2e"
2006,0.088,0.398,0.221105527638191,"district heating",NA,"Korsnäs","Ei","CO2e"
2006,0.472,2.124,0.222222222222222,"district heating",NA,"Koski Tl","Ei","CO2e"
